using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      651    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     5621    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1166    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    583/8    0.001    0.000    0.420    0.053 <frozen importlib._bootstrap_external>:777(exec_module)
     2646    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      583    0.005    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      946    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      583    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      876    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       70    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
       43    0.000    0.000    0.000    0.000 <string>:1(__new__)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:2467(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2472(ImageTransformHandler)
        1    0.000    0.000    0.002    0.002 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3144(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3180(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:444(_E)
        1    0.000    0.000    0.000    0.000 Image.py:485(Image)
        1    0.000    0.000    0.000    0.000 Image.py:51(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:55(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
