using HTTP for the container environment
         6795529 function calls (6512220 primitive calls) in 58.053 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 app.py:138(_write_vt_vector)
        4    0.000    0.000    0.000    0.000 app.py:158(_write_vt_data)
        1    0.000    0.000    0.000    0.000 app.py:162(_write_company)
        1    0.000    0.000    0.000    0.000 app.py:167(_write_manager)
        1    0.000    0.000    0.000    0.000 app.py:174(_write_links_up_to_date)
        1    0.000    0.000    0.000    0.000 app.py:178(_write_shared_doc)
        1    0.000    0.000    0.000    0.000 app.py:182(_write_hyperlink_base)
        1    0.000    0.000    0.000    0.000 app.py:191(_write_hyperlinks_changed)
        1    0.000    0.000    0.000    0.000 app.py:195(_write_app_version)
        1    0.000    0.000    0.000    0.000 app.py:25(__init__)
        2    0.000    0.000    0.000    0.000 app.py:38(_add_part_name)
        2    0.000    0.000    0.000    0.000 app.py:42(_add_heading_pair)
        1    0.000    0.000    0.000    0.000 app.py:53(_set_properties)
        1    0.000    0.000    0.000    0.000 app.py:63(_assemble_xml_file)
        1    0.000    0.000    0.000    0.000 app.py:9(<module>)
        1    0.000    0.000    0.000    0.000 app.py:94(_write_properties)
        1    0.000    0.000    0.000    0.000 argparse.py:1018(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1041(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1060(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1086(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1088(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:115(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1179(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1190(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1245(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1265(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:1577(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1611(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:162(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1631(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:212(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:669(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:680(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:691(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:708(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:741(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:761(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:770(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:861(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:896(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:919(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:936(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:953(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:991(_AppendConstAction)
        1    0.000    0.000    0.002    0.002 array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 array.py:199(SparseArray)
        1    0.000    0.000    0.001    0.001 array_ops.py:1(<module>)
       14    0.000    0.000    0.000    0.000 array_ops.py:362(get_array_op)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:20(OpsMixin)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1145(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1158(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1168(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1197(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1204(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1212(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1238(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1270(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1275(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1285(StructuredVoidFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1322(StructureFormat)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1512(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1585(set_string_function)
        2    0.000    0.000    0.000    0.000 arrayprint.py:452(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:462(decorating_function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
        1    0.000    0.000    0.000    0.000 arrayprint.py:842(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:985(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:992(LongFloatFormat)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:339(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:397(NodeTransformer)
        1    0.000    0.000    0.000    0.000 ast.py:468(_ABC)
        1    0.000    0.000    0.000    0.000 ast.py:497(Num)
        1    0.000    0.000    0.000    0.000 ast.py:501(Str)
        1    0.000    0.000    0.000    0.000 ast.py:505(Bytes)
        1    0.000    0.000    0.000    0.000 ast.py:509(NameConstant)
        1    0.000    0.000    0.000    0.000 ast.py:512(Ellipsis)
        1    0.000    0.000    0.020    0.020 async_case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_case.py:8(IsolatedAsyncioTestCase)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:3(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        6    0.000    0.000    0.013    0.002 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:107(NoNewAttributesMixin)
        1    0.000    0.000    0.000    0.000 base.py:1229(ExtensionOpsMixin)
       11    0.000    0.000    0.000    0.000 base.py:1232(name)
        3    0.000    0.000    0.000    0.000 base.py:1239(name)
        6    0.000    0.000    0.000    0.000 base.py:1281(_get_names)
        1    0.000    0.000    0.000    0.000 base.py:1290(ExtensionScalarOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:141(DataError)
        1    0.000    0.000    0.000    0.000 base.py:145(SpecificationError)
        1    0.000    0.000    0.000    0.000 base.py:149(SelectionMixin)
        1    0.000    0.000    0.001    0.001 base.py:150(Index)
        3    0.000    0.000    0.000    0.000 base.py:1764(is_unique)
        1    0.000    0.000    0.000    0.000 base.py:18(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 base.py:18(ShallowMixin)
        2    0.000    0.000    0.000    0.000 base.py:1803(is_boolean)
        2    0.000    0.000    0.000    0.000 base.py:1839(is_integer)
     4008    0.002    0.000    0.002    0.000 base.py:1875(is_floating)
        4    0.000    0.000    0.000    0.000 base.py:2127(inferred_type)
        1    0.000    0.000    0.000    0.000 base.py:2134(_is_all_dates)
     10/5    0.000    0.000    0.001    0.000 base.py:250(__new__)
     8317    0.004    0.000    0.017    0.000 base.py:254(is_dtype)
     4008    0.004    0.000    0.013    0.000 base.py:3036(get_loc)
        2    0.000    0.000    0.000    0.000 base.py:3142(get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:34(GotItemMixin)
        1    0.000    0.000    0.000    0.000 base.py:3461(_can_reindex)
        1    0.000    0.000    0.000    0.000 base.py:347(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 base.py:3478(reindex)
       17    0.000    0.000    0.000    0.000 base.py:355(register_extension_dtype)
        2    0.000    0.000    0.000    0.000 base.py:381(<genexpr>)
        1    0.000    0.000    0.000    0.000 base.py:381(Registry)
        1    0.000    0.000    0.000    0.000 base.py:397(__init__)
       52    0.000    0.000    0.000    0.000 base.py:397(ndim)
       17    0.000    0.000    0.000    0.000 base.py:400(register)
       22    0.000    0.000    0.000    0.000 base.py:4070(_values)
        6    0.000    0.000    0.000    0.000 base.py:4096(_get_engine_target)
     8296    0.006    0.000    0.008    0.000 base.py:411(find)
        1    0.000    0.000    0.000    0.000 base.py:4175(_coerce_scalar_to_index)
        3    0.000    0.000    0.000    0.000 base.py:4230(__contains__)
        6    0.000    0.000    0.000    0.000 base.py:425(_simple_new)
      163    0.000    0.000    0.000    0.000 base.py:4279(__getitem__)
        4    0.000    0.000    0.000    0.000 base.py:4393(equals)
        1    0.000    0.000    0.000    0.000 base.py:4472(identical)
     4002    0.003    0.000    0.010    0.000 base.py:4845(_get_values_for_loc)
        1    0.000    0.000    0.000    0.000 base.py:4946(get_indexer_for)
        3    0.000    0.000    0.000    0.000 base.py:5001(_index_as_unique)
        2    0.000    0.000    0.000    0.000 base.py:5011(_maybe_promote)
        1    0.000    0.000    0.000    0.000 base.py:503(_get_attributes_dict)
        1    0.000    0.000    0.000    0.000 base.py:508(<dictcomp>)
        1    0.000    0.000    0.000    0.000 base.py:510(_shallow_copy)
     4008    0.003    0.000    0.007    0.000 base.py:5287(_maybe_cast_indexer)
        4    0.000    0.000    0.000    0.000 base.py:532(is_)
        1    0.000    0.000    0.000    0.000 base.py:5513(delete)
        1    0.000    0.000    0.000    0.000 base.py:5544(insert)
        1    0.000    0.000    0.000    0.000 base.py:5566(drop)
        9    0.000    0.000    0.000    0.000 base.py:563(_reset_identity)
        1    0.000    0.000    0.000    0.000 base.py:57(ExtensionArray)
        4    0.000    0.000    0.000    0.000 base.py:574(_engine)
        4    0.000    0.000    0.000    0.000 base.py:581(<lambda>)
     2019    0.001    0.000    0.002    0.000 base.py:5836(ensure_index)
        1    0.000    0.000    0.000    0.000 base.py:5920(ensure_has_len)
        2    0.000    0.000    0.000    0.000 base.py:5947(default_index)
     2016    0.001    0.000    0.002    0.000 base.py:5953(maybe_extract_name)
        5    0.000    0.000    0.000    0.000 base.py:5969(_maybe_cast_with_dtype)
        1    0.000    0.000    0.000    0.000 base.py:60(PandasObject)
     6134    0.002    0.000    0.003    0.000 base.py:600(__len__)
        4    0.000    0.000    0.000    0.000 base.py:6023(_maybe_cast_data_without_dtype)
        1    0.000    0.000    0.000    0.000 base.py:606(__array__)
        3    0.000    0.000    0.000    0.000 base.py:623(dtype)
        1    0.000    0.000    0.000    0.000 base.py:653(view)
       54    0.000    0.000    0.000    0.000 base.py:796(__iter__)
        1    0.000    0.000    0.000    0.000 base.py:81(_reset_cache)
        1    0.000    0.000    0.000    0.000 base.py:9(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:5(<module>)
        1    0.000    0.000    0.015    0.015 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:205(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 base_events.py:273(Server)
        1    0.000    0.000    0.000    0.000 base_events.py:384(BaseEventLoop)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:10(BaseSubprocessTransport)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:255(WriteSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:281(ReadSubprocessPipeProto)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.003    0.003 blocks.py:1(<module>)
     2070    0.005    0.000    0.011    0.000 blocks.py:127(__init__)
        4    0.000    0.000    0.001    0.000 blocks.py:1378(take_nd)
       28    0.000    0.000    0.000    0.000 blocks.py:147(_maybe_coerce_values)
     2070    0.001    0.000    0.001    0.000 blocks.py:161(_check_ndim)
        1    0.000    0.000    0.000    0.000 blocks.py:1664(ExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2048(ObjectValuesExtensionBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2070(NumericBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2076(FloatBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2080(_can_hold_element)
        1    0.000    0.000    0.000    0.000 blocks.py:2127(ComplexBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2140(IntBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2158(DatetimeLikeBlockMixin)
        1    0.000    0.000    0.000    0.000 blocks.py:2232(DatetimeBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2319(DatetimeTZBlock)
     6159    0.001    0.000    0.001    0.000 blocks.py:233(internal_values)
        5    0.000    0.000    0.001    0.000 blocks.py:245(get_values)
        1    0.000    0.000    0.000    0.000 blocks.py:2451(TimeDeltaBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2498(BoolBlock)
        1    0.000    0.000    0.000    0.000 blocks.py:2510(ObjectBlock)
     2042    0.001    0.000    0.001    0.000 blocks.py:2515(_maybe_coerce_values)
        1    0.000    0.000    0.000    0.000 blocks.py:2602(_can_hold_element)
        4    0.000    0.000    0.000    0.000 blocks.py:261(fill_value)
        1    0.000    0.000    0.000    0.000 blocks.py:2638(CategoricalBlock)
     2095    0.000    0.000    0.000    0.000 blocks.py:265(mgr_locs)
     2067    0.008    0.000    0.047    0.000 blocks.py:2672(get_block_type)
     2070    0.002    0.000    0.003    0.000 blocks.py:269(mgr_locs)
     2011    0.004    0.000    0.063    0.000 blocks.py:2721(make_block)
        2    0.000    0.000    0.000    0.000 blocks.py:2748(extend_blocks)
        2    0.000    0.000    0.000    0.000 blocks.py:276(make_block)
       59    0.000    0.000    0.001    0.000 blocks.py:288(make_block_same_class)
        7    0.000    0.000    0.000    0.000 blocks.py:343(shape)
     2021    0.001    0.000    0.001    0.000 blocks.py:347(dtype)
       54    0.000    0.000    0.000    0.000 blocks.py:351(iget)
        1    0.000    0.000    0.000    0.000 blocks.py:592(astype)
        1    0.000    0.000    0.000    0.000 blocks.py:719(should_store)
        1    0.000    0.000    0.000    0.000 blocks.py:752(copy)
        1    0.000    0.000    0.000    0.000 blocks.py:89(Block)
      2/1    0.000    0.000    0.000    0.000 blocks.py:926(setitem)
        1    0.000    0.000    0.003    0.003 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 boolean.py:205(BooleanArray)
        1    0.000    0.000    0.000    0.000 boolean.py:32(BooleanDtype)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
       10    0.000    0.000    0.000    0.000 case.py:1405(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1427(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:1485(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:157(_BaseTestCaseContext)
        1    0.000    0.000    0.000    0.000 case.py:166(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:208(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:245(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:26(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:302(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:321(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:34(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:365(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:375(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:39(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:424(__init__)
        1    0.000    0.000    0.000    0.000 case.py:45(_Outcome)
        6    0.000    0.000    0.000    0.000 case.py:456(addTypeEqualityFunc)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
     2057    0.007    0.000    0.017    0.000 cast.py:1257(maybe_castable)
     2095    0.006    0.000    0.027    0.000 cast.py:1273(maybe_infer_to_datetimelike)
     2105    0.010    0.000    0.037    0.000 cast.py:1379(maybe_cast_to_datetime)
        2    0.000    0.000    0.000    0.000 cast.py:1517(find_common_type)
        4    0.000    0.000    0.000    0.000 cast.py:1541(<genexpr>)
        8    0.000    0.000    0.000    0.000 cast.py:1547(<genexpr>)
        4    0.000    0.000    0.000    0.000 cast.py:1556(<genexpr>)
        4    0.000    0.000    0.000    0.000 cast.py:1558(<genexpr>)
        7    0.000    0.000    0.000    0.000 cast.py:1563(<genexpr>)
        1    0.000    0.000    0.000    0.000 cast.py:1572(construct_1d_arraylike_from_scalar)
        3    0.000    0.000    0.000    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
     2048    0.001    0.000    0.002    0.000 cast.py:1642(construct_1d_ndarray_preserving_na)
        1    0.000    0.000    0.000    0.000 cast.py:1749(convert_scalar_for_putitemlike)
     2001    0.003    0.000    0.003    0.000 cast.py:1780(validate_numeric_casting)
        2    0.000    0.000    0.000    0.000 cast.py:542(maybe_promote)
        2    0.000    0.000    0.000    0.000 cast.py:698(_ensure_dtype_type)
        2    0.000    0.000    0.000    0.000 cast.py:743(infer_dtype_from_scalar)
        1    0.000    0.000    0.000    0.000 cast.py:896(maybe_infer_dtype_type)
        1    0.000    0.000    0.000    0.000 cast.py:996(astype_nansafe)
        2    0.000    0.000    0.009    0.004 categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 categorical.py:187(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:2329(CategoricalAccessor)
        6    0.000    0.000    0.000    0.000 categorical.py:63(_cat_compare_op)
        1    0.000    0.000    0.002    0.002 category.py:1(<module>)
        1    0.000    0.000    0.001    0.001 category.py:33(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 certs.py:4(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:7(DeepChainMap)
        1    0.000    0.000    0.000    0.000 chardistribution.py:113(EUCTWDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:132(EUCKRDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:151(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:170(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:192(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:217(EUCJPDistributionAnalysis)
        1    0.000    0.000    0.002    0.002 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:40(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:32(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
        1    0.000    0.000    0.000    0.000 chart.py:21(Chart)
        1    0.000    0.000    0.000    0.000 chart.py:7(<module>)
        1    0.000    0.000    0.000    0.000 chart_area.py:11(ChartArea)
        1    0.000    0.000    0.001    0.001 chart_area.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_bar.py:12(ChartBar)
        1    0.000    0.000    0.000    0.000 chart_bar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_column.py:11(ChartColumn)
        1    0.000    0.000    0.000    0.000 chart_column.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_doughnut.py:12(ChartDoughnut)
        1    0.000    0.000    0.000    0.000 chart_doughnut.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_line.py:11(ChartLine)
        1    0.000    0.000    0.000    0.000 chart_line.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_pie.py:12(ChartPie)
        1    0.000    0.000    0.000    0.000 chart_pie.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_radar.py:11(ChartRadar)
        1    0.000    0.000    0.000    0.000 chart_radar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:12(ChartScatter)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_stock.py:11(ChartStock)
        1    0.000    0.000    0.000    0.000 chart_stock.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chartsheet.py:12(Chartsheet)
        1    0.000    0.000    0.000    0.000 chartsheet.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1966(Chebyshev)
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
       42    0.000    0.000    0.022    0.001 client.py:1001(_send_output)
       42    0.000    0.000    0.001    0.000 client.py:1055(putrequest)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
       42    0.000    0.000    0.000    0.000 client.py:1182(_encode_request)
       42    0.000    0.000    0.000    0.000 client.py:1186(_validate_method)
       42    0.000    0.000    0.000    0.000 client.py:1195(_validate_path)
       42    0.000    0.000    0.000    0.000 client.py:1203(_validate_host)
      252    0.001    0.000    0.002    0.000 client.py:1211(putheader)
       42    0.000    0.000    0.022    0.001 client.py:1239(endheaders)
       42    0.000    0.000    0.027    0.001 client.py:1252(request)
       42    0.001    0.000    0.027    0.001 client.py:1257(_send_request)
      252    0.000    0.000    0.000    0.000 client.py:1259(<genexpr>)
       42    0.000    0.000   54.791    1.305 client.py:1303(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1371(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1429(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1434(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1437(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1440(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1445(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1448(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1451(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1465(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1468(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1471(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1474(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1477(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1484(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1489(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:174(HTTPMessage)
       42    0.004    0.000    0.028    0.001 client.py:204(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:228(HTTPResponse)
       42    0.000    0.000    0.001    0.000 client.py:237(__init__)
       42    0.001    0.000   54.759    1.304 client.py:267(_read_status)
       42    0.001    0.000   54.790    1.305 client.py:300(begin)
       42    0.000    0.000    0.000    0.000 client.py:380(_check_close)
       42    0.000    0.000    0.000    0.000 client.py:409(_close_conn)
       84    0.000    0.000    0.001    0.000 client.py:414(close)
       42    0.000    0.000    0.000    0.000 client.py:426(flush)
       84    0.000    0.000    0.000    0.000 client.py:437(isclosed)
      367    0.000    0.000    0.003    0.000 client.py:605(_safe_read)
        1    0.000    0.000    0.000    0.000 client.py:771(HTTPConnection)
       42    0.000    0.000    0.000    0.000 client.py:787(_get_content_length)
       42    0.000    0.000    0.000    0.000 client.py:819(__init__)
       42    0.000    0.000    0.000    0.000 client.py:865(_get_hostport)
       42    0.000    0.000    0.002    0.000 client.py:928(close)
       42    0.000    0.000    0.022    0.001 client.py:942(send)
      294    0.000    0.000    0.000    0.000 client.py:980(_output)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       12    0.000    0.000    0.000    0.000 codecs.py:348(__init__)
    84030    0.042    0.000    0.075    0.000 codecs.py:373(write)
       12    0.000    0.000    0.000    0.000 codecs.py:423(__init__)
       12    0.000    0.000    0.000    0.000 codecs.py:681(__init__)
    84030    0.027    0.000    0.102    0.000 codecs.py:719(write)
       12    0.000    0.000    0.000    0.000 codecs.py:738(__getattr__)
       12    0.000    0.000    0.001    0.000 codecs.py:871(open)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:33(CodingStateMachine)
        1    0.000    0.000    0.000    0.000 comments.py:14(Comments)
        1    0.000    0.000    0.000    0.000 comments.py:8(<module>)
        6    0.000    0.000    0.004    0.001 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:108(is_url)
        1    0.000    0.000    0.000    0.000 common.py:1187(needs_i8_conversion)
        2    0.000    0.000    0.000    0.000 common.py:126(_expand_user)
     4171    0.002    0.000    0.002    0.000 common.py:129(cast_scalar_indexer)
       52    0.000    0.000    0.000    0.000 common.py:13(unpack_zerodim_and_defer)
